network_index,network_name,title,description,networkDomain,subDomain,sourceUrl,number_nodes,number_edges
0.0,Aishihik_Lake_host-parasite_web_Aishihik_Lake_host-parasite_web,Aishihik Lake host-parasite web,"A network of parasites and their host species, from Canadian freshwater systems. Includes all observed species of internal and external metazoan parasites. Edge weights represent both the prevalence of a parasite and the intensity of the infection\n      \n",Biological,Food web,http://www.nrcresearchpress.com/doi/abs/10.1139/f76-294,36.0,78.0
1.0,Arroyo_plant-pollinator_web_Elevation_1,Arroyo plant-pollinator web,A bipartite network of plants and pollinators from three different elevations in the Andean (alpine) zone on the Cordon del Crepo in central Chile. Each of the three elevations has a different set of species and interactions,Biological,Food web,http://link.springer.com/article/10.1007%2FBF00983305,182.0,363.0
2.0,Arroyo_plant-pollinator_web_Elevation_2,Arroyo plant-pollinator web,A bipartite network of plants and pollinators from three different elevations in the Andean (alpine) zone on the Cordon del Crepo in central Chile. Each of the three elevations has a different set of species and interactions,Biological,Food web,http://link.springer.com/article/10.1007%2FBF00983305,97.0,179.0
3.0,Arroyo_plant-pollinator_web_Elevation_3,Arroyo plant-pollinator web,A bipartite network of plants and pollinators from three different elevations in the Andean (alpine) zone on the Cordon del Crepo in central Chile. Each of the three elevations has a different set of species and interactions,Biological,Food web,http://link.springer.com/article/10.1007%2FBF00983305,65.0,85.0
4.0,Barrett_Helenurm_plant-pollinator_web_Barrett_Helenurm_plant-pollinator_web,Barrett & Helenurm plant-pollinator web,"A bipartite network of plants and pollinators from the boreal forest of central New Brunswick, Canada, as collected from May to September of 1978, 1979, and 1980. Edge weights represent interaction frequency",Biological,Food web,http://www.nrcresearchpress.com/doi/abs/10.1139/b87-278,112.0,166.0
5.0,Beehler_seed-disperser_web_Beehler_seed-disperser_web,Beehler seed-disperser web,"A bipartite network of birds and plants, from a forest on Mount Missim, in Papua New Guinea, collected between July 1978 to November 1980. Edge weights represent the frequency of interaction between a bird and a plant\n",Biological,Food web,https://sora.unm.edu/sites/default/files/journals/auk/v100n01/p0001-p0012.pdf,40.0,119.0
6.0,Binary_interactomes_various species_2012_A_thaliana_mustard_binary_hq,Binary interactomes (various species; 2012),"Networks of protein-protein interactions in 11 species, extracted by combining the results of high-throughput (HT) yeast two-hybrid experiments and literature curation (LC) of known interactions",Biological,Protein interactions,http://www.biomedcentral.com/1752-0509/6/92/,297.0,560.0
7.0,Binary_interactomes_various species_2012_A_thaliana_mustard_binary_lc,Binary interactomes (various species; 2012),"Networks of protein-protein interactions in 11 species, extracted by combining the results of high-throughput (HT) yeast two-hybrid experiments and literature curation (LC) of known interactions",Biological,Protein interactions,http://www.biomedcentral.com/1752-0509/6/92/,297.0,560.0
8.0,Binary_interactomes_various species_2012_A_thaliana_mustard_cocomp_hq,Binary interactomes (various species; 2012),"Networks of protein-protein interactions in 11 species, extracted by combining the results of high-throughput (HT) yeast two-hybrid experiments and literature curation (LC) of known interactions",Biological,Protein interactions,http://www.biomedcentral.com/1752-0509/6/92/,128.0,134.0
11.0,Binary_interactomes_various species_2012_C_elegans_nematode_binary_lc,Binary interactomes (various species; 2012),"Networks of protein-protein interactions in 11 species, extracted by combining the results of high-throughput (HT) yeast two-hybrid experiments and literature curation (LC) of known interactions",Biological,Protein interactions,http://www.biomedcentral.com/1752-0509/6/92/,50.0,53.0
14.0,Binary_interactomes_various species_2012_D_melanogaster_fly_cocomp_hq,Binary interactomes (various species; 2012),"Networks of protein-protein interactions in 11 species, extracted by combining the results of high-throughput (HT) yeast two-hybrid experiments and literature curation (LC) of known interactions",Biological,Protein interactions,http://www.biomedcentral.com/1752-0509/6/92/,26.0,56.0
16.0,Binary_interactomes_various species_2012_E_coli_K12_binary_lc,Binary interactomes (various species; 2012),"Networks of protein-protein interactions in 11 species, extracted by combining the results of high-throughput (HT) yeast two-hybrid experiments and literature curation (LC) of known interactions",Biological,Protein interactions,http://www.biomedcentral.com/1752-0509/6/92/,32.0,37.0
17.0,Binary_interactomes_various species_2012_E_coli_K12_cocomp_hq,Binary interactomes (various species; 2012),"Networks of protein-protein interactions in 11 species, extracted by combining the results of high-throughput (HT) yeast two-hybrid experiments and literature curation (LC) of known interactions",Biological,Protein interactions,http://www.biomedcentral.com/1752-0509/6/92/,974.0,2299.0
