,filter,benchmark,noise_level,information_retention,jaccard,average_degree_original,average_degree_filtered,average_clustering_original,average_clustering_filtered,average_path_length_original,average_path_length_filtered,diameter_original,diameter_filtered,average_betweenness_original,average_betweenness_filtered,average_closeness_original,average_closeness_filtered,global_efficiency_original,global_efficiency_filtered,degree_assortativity_original,degree_assortativity_filtered,density_original,density_filtered,transitivity_original,transitivity_filtered,degree_variance_original,degree_variance_filtered,maximum_degree_original,maximum_degree_filtered,true_positive,true_negative,false_positive,false_negative,precision,recall,f1_score,RMSE,filename,weighted
3960,local_degree_sparsifier,bench_net2net_filtering,,0.000280784298111,0.4997074312463428,27.126984126984127,13.555555555555555,0.5759076430286777,0.358420972538415,1.948063492063492,,4.0,,0.0076456733230926,0.00157910906298,0.5202290818631112,0.1748934901096079,0.5810899470899511,0.1963597883597891,0.0828713534518043,0.1822796351228235,0.217015873015873,0.1084444444444444,0.5216527100395694,0.6271843832580343,153.71403376165287,202.2151675485009,55,45,854,6166,0,855,1.0,0.4997074312463428,0.666406554818572,0.3295017884191656,"High_school_dynamic_contact_networks_contact_list,_2011_real_nets",False
3961,local_degree_sparsifier,bench_noise_filtering,0.1,0.001807302740643,0.5076574021554169,27.126984126984127,15.063492063492063,0.5759076430286777,0.3264996673621043,1.948063492063492,,4.0,,0.0076456733230926,0.0013620071684587,0.5202290818631112,0.1835617753553248,0.5810899470899511,0.2048677248677248,0.0828713534518043,0.1953560063885473,0.217015873015873,0.1205079365079365,0.5216527100395694,0.6008317525171458,153.71403376165287,223.26581002771485,55,44,895,6112,54,814,0.9430979978925184,0.5236980690462258,0.673438675696012,0.3319973226130329,"High_school_dynamic_contact_networks_contact_list,_2011_real_nets",False
3962,local_degree_sparsifier,bench_noise_filtering,0.2,0.0018083045803573,0.5275027502750275,27.126984126984127,16.952380952380953,0.5759076430286777,0.3401603180920551,1.948063492063492,,4.0,,0.0076456733230926,0.0016098310291858,0.5202290818631112,0.2100380334355563,0.5810899470899511,0.2344126984126985,0.0828713534518043,0.1115789269257818,0.217015873015873,0.1356190476190476,0.5216527100395694,0.5738691931540343,153.71403376165287,248.93424036281183,55,48,959,6057,109,750,0.8979400749063671,0.5611468695143359,0.6906733885487937,0.3302716534602464,"High_school_dynamic_contact_networks_contact_list,_2011_real_nets",False
3963,local_degree_sparsifier,bench_noise_filtering,0.3,0.0004583543697868,0.5097938144329897,27.126984126984127,19.365079365079364,0.5759076430286777,0.3472342804328999,1.948063492063492,,4.0,,0.0076456733230926,0.0017849462365591,0.5202290818631112,0.2344785144482654,0.5810899470899511,0.262455026455027,0.0828713534518043,0.0693476128442663,0.217015873015873,0.1549206349206349,0.5216527100395694,0.5509946867663413,153.71403376165287,286.6603678508441,55,47,989,5935,231,720,0.8106557377049181,0.5787009947337625,0.6753158074428133,0.3475081362528146,"High_school_dynamic_contact_networks_contact_list,_2011_real_nets",False
3964,local_degree_sparsifier,bench_noise_filtering,0.4,0.0001411990666856,0.4834280303030303,27.126984126984127,22.603174603174605,0.5759076430286777,0.348321181879785,1.948063492063492,,4.0,,0.0076456733230926,0.0016200716845878,0.5202290818631112,0.2508542695978749,0.5810899470899511,0.281015873015873,0.0828713534518043,0.0624668510203896,0.217015873015873,0.1808253968253968,0.5216527100395694,0.5593297187009993,153.71403376165287,351.9060216679265,55,49,1021,5763,403,688,0.7169943820224719,0.5974253949678174,0.6517714650494734,0.3722091919064903,"High_school_dynamic_contact_networks_contact_list,_2011_real_nets",False
3965,local_degree_sparsifier,bench_noise_filtering,0.5,4.02990194339625e-06,0.434326479227864,27.126984126984127,27.126984126984127,0.5759076430286777,0.3893442776445948,1.948063492063492,,4.0,,0.0076456733230926,0.0017480798771121,0.5202290818631112,0.2895672091822609,0.5810899470899511,0.3242962962962962,0.0828713534518043,0.0344402297909565,0.217015873015873,0.217015873015873,0.5216527100395694,0.5794971305891582,153.71403376165287,444.6346686822878,55,55,1035,5492,674,674,0.6056173200702165,0.6056173200702165,0.6056173200702165,0.4137325261260023,"High_school_dynamic_contact_networks_contact_list,_2011_real_nets",False
3966,local_degree_sparsifier,bench_structural_noise_filtering,0.1,0.0317312366785791,0.5514018691588785,13.555555555555555,7.523809523809524,0.358420972538415,0.233883498676556,,,,,0.00157910906298,0.0002734254992319,0.1748934901096079,0.0702932450490182,0.1963597883597891,0.0771428571428571,0.1822796351228235,-0.0451075431432124,0.1084444444444444,0.0601904761904761,0.6271843832580343,0.7446415062620829,202.2151675485009,139.7573696145124,45,35,472,7019,2,382,0.9957805907172996,0.5526932084309133,0.7108433734939759,0.2208209789895533,"High_school_dynamic_contact_networks_contact_list,_2011_real_nets",False
3967,local_degree_sparsifier,bench_structural_noise_filtering,0.2,0.1148037617557022,0.6034682080924856,13.555555555555555,8.46031746031746,0.358420972538415,0.249708441138852,,,,,0.00157910906298,0.0004024577572964,0.1748934901096079,0.0817078851814415,0.1963597883597891,0.0906878306878306,0.1822796351228235,0.0096182809183981,0.1084444444444444,0.0676825396825396,0.6271843832580343,0.7396559078629319,202.2151675485009,160.15318720080634,45,37,522,7010,11,332,0.9793621013133208,0.6112412177985949,0.7527036770007209,0.2086996778999803,"High_school_dynamic_contact_networks_contact_list,_2011_real_nets",False
3968,local_degree_sparsifier,bench_structural_noise_filtering,0.3,0.0631807037342497,0.6542372881355932,13.555555555555555,9.682539682539682,0.358420972538415,0.2550496504704498,,,,,0.00157910906298,0.0004352278545826,0.1748934901096079,0.0943582850525668,0.1963597883597891,0.1044444444444444,0.1822796351228235,0.0974994260886824,0.1084444444444444,0.0774603174603174,0.6271843832580343,0.7125402312552152,202.2151675485009,182.24842529604425,45,39,579,6990,31,275,0.9491803278688524,0.6779859484777517,0.7909836065573771,0.1971221521218324,"High_school_dynamic_contact_networks_contact_list,_2011_real_nets",False
3969,local_degree_sparsifier,bench_structural_noise_filtering,0.4,0.1707719231668438,0.7141292442497261,13.555555555555555,11.285714285714286,0.358420972538415,0.2828516085515926,,,,,0.00157910906298,0.0007762416794674,0.1748934901096079,0.1208737466575159,0.1963597883597891,0.135195767195767,0.1822796351228235,0.1326935397257162,0.1084444444444444,0.0902857142857142,0.6271843832580343,0.6748707851341373,202.2151675485009,206.37868480725623,45,42,652,6962,59,202,0.9170182841068916,0.7634660421545667,0.8332268370607029,0.1820517979665599,"High_school_dynamic_contact_networks_contact_list,_2011_real_nets",False
