filter,benchmark,noise_level,information_retention,jaccard,degree_assortativity_original,degree_assortativity_filtered,average_clustering_original,average_clustering_filtered,average_shortest_path_length_original,average_shortest_path_length_filtered,density_original,density_filtered,average_degree_connectivity_original,average_degree_connectivity_filtered,transitivity_original,transitivity_filtered,true_positive,true_negative,false_positive,false_negative,precision,recall,f1_score,RMSE,filename,weighted
mst,bench_noise_filtering,0.1,0.11296046285861353,0.23468862583633557,-0.01794948154966483,-0.1959439093562058,0.3822738095238096,0.0,8.504424280350438,33.04714017521902,0.0050062578222778474,0.0025,4.102623477894209,2.3929882946676977,0.35941912061315046,0.0,721,317922,78,879,0.9023779724655819,0.450625,0.6010837849103793,0.0547208183413766,watts_strogatz_graph800,True
mst,bench_noise_filtering,0.2,0.15023632527411412,0.20310932798395184,-0.01794948154966483,-0.20448021652203158,0.3822738095238096,0.0,8.504424280350438,23.308773466833543,0.0050062578222778474,0.0025,4.102623477894209,2.380570027106318,0.35941912061315046,0.0,647,317848,152,953,0.8097622027534418,0.404375,0.539391413088787,0.05880005789547012,watts_strogatz_graph800,True
mst,bench_noise_filtering,0.3,0.1493412628730293,0.16739659367396595,-0.01794948154966483,-0.21209029114159753,0.3822738095238096,0.0,8.504424280350438,31.647781602002503,0.0050062578222778474,0.0025,4.102623477894209,2.397046905488745,0.35941912061315046,0.0,570,317771,229,1030,0.7133917396745932,0.35625,0.4751979991663193,0.06276383611527327,watts_strogatz_graph800,True
mst,bench_noise_filtering,0.4,0.1746935128812822,0.13966745843230405,-0.01794948154966483,-0.16837721413642753,0.3822738095238096,0.0,8.504424280350438,26.596060700876095,0.0050062578222778474,0.0025,4.102623477894209,2.5216740839440765,0.35941912061315046,0.0,490,317691,309,1110,0.6132665832290363,0.30625,0.40850354314297627,0.06663276150762976,watts_strogatz_graph800,True
mst,bench_noise_filtering,0.5,0.1718762349957692,0.11064814814814815,-0.01794948154966483,-0.19158869087206082,0.3822738095238096,0.0,8.504424280350438,25.173748435544432,0.0050062578222778474,0.0025,4.102623477894209,2.4922557767374323,0.35941912061315046,0.0,404,317605,395,1196,0.5056320400500626,0.2525,0.33680700291788246,0.07055563494170777,watts_strogatz_graph800,True
mst,bench_net2net_filtering,,0.07502509811081222,0.27200424178154825,-0.01794948154966483,-0.2924470149222867,0.3822738095238096,0.0,8.504424280350438,39.45927409261577,0.0050062578222778474,0.0025,4.102623477894209,2.2570846148233974,0.35941912061315046,0.0,799,318000,0,801,1.0,0.499375,0.6661108795331389,0.05006253911137396,watts_strogatz_graph800,True
mst,bench_structural_noise_filtering,0.1,0.998240750269731,0.8516801853997682,-0.2924470149222867,-0.21093385136227918,0.0,0.0,39.45927409261577,29.843128911138923,0.0025,0.0025,2.2570846148233974,2.3557398814576764,0.0,0.0,751,318753,48,48,0.9399249061326659,0.9399249061326659,0.9399249061326659,0.017331343552554453,watts_strogatz_graph800,True
mst,bench_structural_noise_filtering,0.2,0.9961900498381676,0.7369565217391304,-0.2924470149222867,-0.19349451277233634,0.0,0.0,39.45927409261577,34.43805381727159,0.0025,0.0025,2.2570846148233974,2.368555625057919,0.0,0.0,703,318705,96,96,0.8798498122653317,0.8798498122653317,0.8798498122653317,0.024510221106170006,watts_strogatz_graph800,True
mst,bench_structural_noise_filtering,0.3,0.9867040501896419,0.607645875251509,-0.2924470149222867,-0.229202628144961,0.0,0.0,39.45927409261577,27.026708385481854,0.0025,0.0025,2.2570846148233974,2.314600650753705,0.0,0.0,640,318642,159,159,0.8010012515644556,0.8010012515644556,0.8010012515644556,0.03154352139786746,watts_strogatz_graph800,True
mst,bench_structural_noise_filtering,0.4,0.9697564542870794,0.4906716417910448,-0.2924470149222867,-0.18640683242534734,0.0,0.0,39.45927409261577,27.534164580725907,0.0025,0.0025,2.2570846148233974,2.438213244877764,0.0,0.0,580,318582,219,219,0.7259073842302879,0.7259073842302879,0.7259073842302879,0.03701976605610252,watts_strogatz_graph800,True
mst,bench_structural_noise_filtering,0.5,0.9642596219508622,0.3944153577661431,-0.2924470149222867,-0.16988741010089442,0.0,0.0,39.45927409261577,26.80086670838548,0.0025,0.0025,2.2570846148233974,2.498152428214511,0.0,0.0,515,318517,284,284,0.6445556946182729,0.6445556946182729,0.6445556946182729,0.04215710529565136,watts_strogatz_graph800,True
threshold,bench_noise_filtering,0.1,0.26029834612429237,0.4816568047337278,-0.01794948154966483,0.03260841787840675,0.3822738095238096,0.12337499999999993,8.504424280350438,,0.0050062578222778474,0.0028285356695869836,4.102623477894209,2.4444910242830145,0.35941912061315046,0.14642857142857144,814,317910,90,786,0.9004424778761062,0.50875,0.6501597444089456,0.05235385523241933,watts_strogatz_graph800,True
threshold,bench_noise_filtering,0.2,0.3628899865590898,0.45071982281284606,-0.01794948154966483,0.025889559103606342,0.3822738095238096,0.1045833333333333,8.504424280350438,,0.0050062578222778474,0.0031914893617021275,4.102623477894209,2.697878831934644,0.35941912061315046,0.1112115732368897,814,317794,206,786,0.7980392156862746,0.50875,0.6213740458015267,0.05571247481320737,watts_strogatz_graph800,True
threshold,bench_noise_filtering,0.3,0.45690032425250543,0.4180790960451977,-0.01794948154966483,0.0419072573996633,0.3822738095238096,0.08080059523809532,8.504424280350438,,0.0050062578222778474,0.003632665832290363,4.102623477894209,3.2508245552186907,0.35941912061315046,0.08213689482470785,814,317653,347,786,0.7011197243755384,0.50875,0.5896414342629482,0.05954037554803044,watts_strogatz_graph800,True
threshold,bench_noise_filtering,0.4,0.5225244997733749,0.38287864534336785,-0.01794948154966483,0.013045444902107637,0.3822738095238096,0.06458035714285724,8.504424280350438,,0.0050062578222778474,0.004192740926157697,4.102623477894209,3.655737131622703,0.35941912061315046,0.06008793356130923,814,317474,526,786,0.6074626865671642,0.50875,0.5537414965986395,0.06407129945824289,watts_strogatz_graph800,True
threshold,bench_noise_filtering,0.5,0.5180381234711651,0.3434599156118143,-0.01794948154966483,0.03006234877071596,0.3822738095238096,0.050984397546897646,8.504424280350438,,0.0050062578222778474,0.004956195244055069,4.102623477894209,4.311641759188933,0.35941912061315046,0.04420836189170665,814,317230,770,786,0.5138888888888888,0.50875,0.5113065326633166,0.06977525157364327,watts_strogatz_graph800,True
threshold,bench_net2net_filtering,,0.11866037734378183,0.50875,-0.01794948154966483,0.011051276456469136,0.3822738095238096,0.13799999999999982,8.504424280350438,,0.0050062578222778474,0.0025469336670838547,4.102623477894209,2.125008100966702,0.35941912061315046,0.19173811379579112,814,318000,0,786,1.0,0.50875,0.6743993371996686,0.04959157342930341,watts_strogatz_graph800,True
threshold,bench_structural_noise_filtering,0.1,0.9731763340667438,0.9004424778761062,0.011051276456469136,0.036981100761363586,0.13799999999999982,0.12087499999999989,,,0.0025469336670838547,0.0028285356695869836,2.125008100966702,2.4610647986747134,0.19173811379579112,0.14625445897740785,814,318696,90,0,0.9004424778761062,1.0,0.9476135040745053,0.016781001236610672,watts_strogatz_graph800,True
threshold,bench_structural_noise_filtering,0.2,0.9016817097428242,0.80039331366765,0.011051276456469136,0.0030281014791785302,0.13799999999999982,0.10301785714285706,,,0.0025469336670838547,0.0031821026282853565,2.125008100966702,2.74456789146039,0.19173811379579112,0.1117092866756393,814,318583,203,0,0.80039331366765,1.0,0.8891316220644456,0.02520255862410604,watts_strogatz_graph800,True
