filter,benchmark,noise_level,information_retention,jaccard,average_degree_original,average_degree_filtered,average_clustering_original,average_clustering_filtered,average_path_length_original,average_path_length_filtered,diameter_original,diameter_filtered,average_betweenness_original,average_betweenness_filtered,average_closeness_original,average_closeness_filtered,global_efficiency_original,global_efficiency_filtered,degree_assortativity_original,degree_assortativity_filtered,density_original,density_filtered,transitivity_original,transitivity_filtered,degree_variance_original,degree_variance_filtered,maximum_degree_original,maximum_degree_filtered,true_positive,true_negative,false_positive,false_negative,precision,recall,f1_score,RMSE,filename,weighted
mst,bench_net2net_filtering,,0.07502509811081222,0.27200424178154825,4.0,1.9975,0.3822738095238096,0.0,8.504424280350438,39.45927409261577,18.0,113.0,0.009404040451566963,0.048194579063428285,0.11865440411793131,0.02657663541036472,0.13416358096959557,0.042668260957071345,-0.01794948154966483,-0.2924470149222867,0.0050062578222778474,0.0025,0.35941912061315046,0.0,0.395,0.71499375,7,5,799,318000,0,801,1.0,0.499375,0.6661108795331389,0.05006253911137396,watts_strogatz_graph800,True
mst,bench_noise_filtering,0.1,0.11296046285861353,0.23468862583633557,4.0,1.9975,0.3822738095238096,0.0,8.504424280350438,33.04714017521902,18.0,91.0,0.009404040451566963,0.04015932352784339,0.11865440411793131,0.031494892672320536,0.13416358096959557,0.048670437060307256,-0.01794948154966483,-0.1959439093562058,0.0050062578222778474,0.0025,0.35941912061315046,0.0,0.395,0.8174937499999999,7,6,721,317922,78,879,0.9023779724655819,0.450625,0.6010837849103793,0.0547208183413766,watts_strogatz_graph800,True
mst,bench_noise_filtering,0.2,0.15023632527411412,0.20310932798395184,4.0,1.9975,0.3822738095238096,0.0,8.504424280350438,23.308773466833543,18.0,60.0,0.009404040451566963,0.027955856474728747,0.11865440411793131,0.04467473194554284,0.13416358096959557,0.058830969591917734,-0.01794948154966483,-0.20448021652203158,0.0050062578222778474,0.0025,0.35941912061315046,0.0,0.395,0.9349937500000002,7,6,647,317848,152,953,0.8097622027534418,0.404375,0.539391413088787,0.05880005789547012,watts_strogatz_graph800,True
mst,bench_noise_filtering,0.3,0.1493412628730293,0.16739659367396595,4.0,1.9975,0.3822738095238096,0.0,8.504424280350438,31.647781602002503,18.0,78.0,0.009404040451566963,0.03840574135589286,0.11865440411793131,0.03242345807773711,0.13416358096959557,0.051610112536350394,-0.01794948154966483,-0.21209029114159753,0.0050062578222778474,0.0025,0.35941912061315046,0.0,0.395,1.00249375,7,6,570,317771,229,1030,0.7133917396745932,0.35625,0.4751979991663193,0.06276383611527327,watts_strogatz_graph800,True
mst,bench_noise_filtering,0.4,0.1746935128812822,0.13966745843230405,4.0,1.9975,0.3822738095238096,0.0,8.504424280350438,26.596060700876095,18.0,78.0,0.009404040451566963,0.03207526403618558,0.11865440411793131,0.03980575316761779,0.13416358096959557,0.05688264186953871,-0.01794948154966483,-0.16837721413642753,0.0050062578222778474,0.0025,0.35941912061315046,0.0,0.395,1.07499375,7,6,490,317691,309,1110,0.6132665832290363,0.30625,0.40850354314297627,0.06663276150762976,watts_strogatz_graph800,True
mst,bench_noise_filtering,0.5,0.1718762349957692,0.11064814814814815,4.0,1.9975,0.3822738095238096,0.0,8.504424280350438,25.173748435544432,18.0,64.0,0.009404040451566963,0.03029291783902811,0.11865440411793131,0.04128198447311908,0.13416358096959557,0.05647023415537399,-0.01794948154966483,-0.19158869087206082,0.0050062578222778474,0.0025,0.35941912061315046,0.0,0.395,1.07499375,7,6,404,317605,395,1196,0.5056320400500626,0.2525,0.33680700291788246,0.07055563494170777,watts_strogatz_graph800,True
mst,bench_structural_noise_filtering,0.1,0.998240750269731,0.8516801853997682,1.9975,1.9975,0.0,0.0,39.45927409261577,29.843128911138923,113.0,72.0,0.048194579063428285,0.036144271818469825,0.02657663541036472,0.03482018720847791,0.042668260957071345,0.04969594363291169,-0.2924470149222867,-0.21093385136227918,0.0025,0.0025,0.0,0.0,0.71499375,0.77999375,5,5,751,318753,48,48,0.9399249061326659,0.9399249061326659,0.9399249061326659,0.017331343552554453,watts_strogatz_graph800,True
mst,bench_structural_noise_filtering,0.2,0.9961900498381676,0.7369565217391304,1.9975,1.9975,0.0,0.0,39.45927409261577,34.43805381727159,113.0,89.0,0.048194579063428285,0.04190232307928771,0.02657663541036472,0.029967459955737682,0.042668260957071345,0.04738095110169447,-0.2924470149222867,-0.19349451277233634,0.0025,0.0025,0.0,0.0,0.71499375,0.7999937500000001,5,5,703,318705,96,96,0.8798498122653317,0.8798498122653317,0.8798498122653317,0.024510221106170006,watts_strogatz_graph800,True
mst,bench_structural_noise_filtering,0.3,0.9867040501896419,0.607645875251509,1.9975,1.9975,0.0,0.0,39.45927409261577,27.026708385481854,113.0,85.0,0.048194579063428285,0.03261492278882437,0.02657663541036472,0.038801805758800774,0.042668260957071345,0.05326412965369048,-0.2924470149222867,-0.229202628144961,0.0025,0.0025,0.0,0.0,0.71499375,0.88749375,5,6,640,318642,159,159,0.8010012515644556,0.8010012515644556,0.8010012515644556,0.03154352139786746,watts_strogatz_graph800,True
mst,bench_structural_noise_filtering,0.4,0.9697564542870794,0.4906716417910448,1.9975,1.9975,0.0,0.0,39.45927409261577,27.534164580725907,113.0,68.0,0.048194579063428285,0.0332508328079272,0.02657663541036472,0.03808973039116189,0.042668260957071345,0.054151811138625564,-0.2924470149222867,-0.18640683242534734,0.0025,0.0025,0.0,0.0,0.71499375,0.9974937500000002,5,6,580,318582,219,219,0.7259073842302879,0.7259073842302879,0.7259073842302879,0.03701976605610252,watts_strogatz_graph800,True
